show,notes,destinationID,google_place,google_place_id,user_entered_place,count,lat,lon,Record ID,timedstamp,Last Modified,Category,Notes,first_name,description
TRUE,,97,Fashion District LA,ChIJjTaafczHwoAReQWDQda6tMU,Fashion District LA,1,34.0388986,-118.2556616,recocbAWepWQpE4Gw,9/23/2023 11:15 AM,9/25/2023 9:42 PM,City/Neighborhood,,,
TRUE,,98,San Fernando Swap Meet,ChIJj0K2WbiRwoAR3feujbA5Zb0,San Fernando Swap Meet,1,34.2876418,-118.4237391,recSm2NA0kE2CwId1,9/23/2023 11:15 AM,9/25/2023 9:42 PM,Mall/Shopping Area,,,
TRUE,,99,BMO Stadium,ChIJWbtt4AjIwoAR3Iskktmqysg,BMO Stadium,1,34.0127942,-118.284075,rec8s6FhmWXjmCAA0,9/23/2023 11:15 AM,9/25/2023 9:42 PM,Sports Venue,,,
FALSE,,100,Catalina Flyer,ChIJG9bde2vg3IARe4M1HpJJTq4,Catalina Flyer,1,33.6027945,-117.8988828,recGe7uiTGWyTEKRM,9/23/2023 11:15 AM,9/25/2023 9:56 PM,Island,Catalina?,,
TRUE,,101,Downtown Burbank,ChIJVVUVrFGVwoARJDZm-yAC15s,United States,1,34.1847965,-118.3138702,recQR9Ck7AEOppCMe,9/23/2023 11:15 AM,9/25/2023 9:36 PM,City/Neighborhood,,,
FALSE,Not in LA County,102,Angel Stadium of Anaheim,ChIJHbA-iJzX3IARembDUOvijy0,Angel Stadium of Anaheim,1,33.800308,-117.8827321,rec6VyiTaYMljWi5T,9/23/2023 11:15 AM,9/25/2023 9:43 PM,Sports Venue,,,
FALSE,Too general,103,Carson,ChIJfcS6fx7LwoARZYDiqXgXL6E,Carson,1,33.8316745,-118.281693,recxWei8RRoRdKjqC,9/23/2023 11:15 AM,9/25/2023 9:36 PM,City/Neighborhood,,,
TRUE,In Downey,104,McDonald's,ChIJuzWniYrNwoAR2bgc5Xa3-wk,McDonald's,1,33.9474096,-118.1179069,reccBC6V7xNTRLRFG,9/23/2023 11:15 AM,9/25/2023 9:41 PM,Food,,,
TRUE,Next to Disneyland,105,McDonald's,ChIJY5PActDX3IARrmSSYfxO3c8,McDonald's,1,33.8109218,-117.9147255,rec2ORmaUhx9wqXfX,9/23/2023 11:15 AM,9/25/2023 9:41 PM,Food,,,
FALSE,Too general,106,Broadway,Eh9Ccm9hZHdheSwgU2FudGEgTW9uaWNhLCBDQSwgVVNBIi4qLAoUChIJO8nxFzS7woARpdmGIpRFUhYSFAoSCRkAkcLOpMKAEav1I_-1Che0,Broadway,1,34.0250545,-118.481293,rec36GYD8XwBnPmMO,9/23/2023 11:15 AM,9/25/2023 9:55 PM,City/Neighborhood,,,
